# Abrahamson, Gregor, & Addo (2016), Coefficients from Table 3
#period,v_lin,b,n,c,c_4,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,phi,tau,sigma
0.000,865.1,-1.186,1.18,1.88,10,4.2203,-1.35,0.1,0.9,0,-0.0012,1.0988,-1.42,0.4,3.12,0.0130,0.980,-0.0135,-0.40,0.9969,-1.00,0.6,0.43,0.738
0.020,865.1,-1.186,1.18,1.88,10,4.2203,-1.35,0.1,0.9,0,-0.0012,1.0988,-1.42,0.4,3.12,0.0130,0.980,-0.0135,-0.40,0.9969,-1.00,0.6,0.43,0.738
0.050,1053.5,-1.346,1.18,1.88,10,4.5371,-1.40,0.1,0.9,0,-0.0012,1.2536,-1.65,0.4,3.37,0.0130,1.288,-0.0138,-0.40,1.1030,-1.18,0.6,0.43,0.738
0.075,1085.7,-1.471,1.18,1.88,10,5.0733,-1.45,0.1,0.9,0,-0.0012,1.4175,-1.80,0.4,3.37,0.0130,1.483,-0.0142,-0.40,1.2732,-1.36,0.6,0.43,0.738
0.100,1032.5,-1.624,1.18,1.88,10,5.2892,-1.45,0.1,0.9,0,-0.0012,1.3997,-1.80,0.4,3.33,0.0130,1.613,-0.0145,-0.40,1.3042,-1.36,0.6,0.43,0.738
0.150,877.6,-1.931,1.18,1.88,10,5.4563,-1.45,0.1,0.9,0,-0.0014,1.3582,-1.69,0.4,3.25,0.0130,1.882,-0.0153,-0.40,1.2600,-1.30,0.6,0.43,0.738
0.200,748.2,-2.188,1.18,1.88,10,5.2684,-1.40,0.1,0.9,0,-0.0018,1.1648,-1.49,0.4,3.03,0.0129,2.076,-0.0162,-0.35,1.2230,-1.25,0.6,0.43,0.738
0.250,654.3,-2.381,1.18,1.88,10,5.0594,-1.35,0.1,0.9,0,-0.0023,0.9940,-1.30,0.4,2.80,0.0129,2.248,-0.0172,-0.31,1.1600,-1.17,0.6,0.43,0.738
0.300,587.1,-2.518,1.18,1.88,10,4.7945,-1.28,0.1,0.9,0,-0.0027,0.8821,-1.18,0.4,2.59,0.0128,2.348,-0.0183,-0.28,1.0500,-1.06,0.6,0.43,0.738
0.400,503.0,-2.657,1.18,1.88,10,4.4644,-1.18,0.1,0.9,0,-0.0035,0.7046,-0.98,0.4,2.20,0.0127,2.427,-0.0206,-0.23,0.8000,-0.78,0.6,0.43,0.738
0.500,456.6,-2.669,1.18,1.88,10,4.0181,-1.08,0.1,0.9,0,-0.0044,0.5799,-0.82,0.4,1.92,0.0125,2.399,-0.0231,-0.19,0.6620,-0.62,0.6,0.43,0.738
0.600,430.3,-2.599,1.18,1.88,10,3.6055,-0.99,0.1,0.9,0,-0.0050,0.5021,-0.70,0.4,1.70,0.0124,2.273,-0.0256,-0.16,0.5800,-0.50,0.6,0.43,0.738
0.750,410.5,-2.401,1.18,1.88,10,3.2174,-0.91,0.1,0.9,0,-0.0058,0.3687,-0.54,0.4,1.42,0.0120,1.993,-0.0296,-0.12,0.4800,-0.34,0.6,0.43,0.738
1.000,400.0,-1.955,1.18,1.88,10,2.7981,-0.85,0.1,0.9,0,-0.0062,0.1746,-0.34,0.4,1.10,0.0114,1.470,-0.0363,-0.07,0.3300,-0.14,0.6,0.43,0.738
1.500,400.0,-1.025,1.18,1.88,10,2.0123,-0.77,0.1,0.9,0,-0.0064,-0.0820,-0.05,0.4,0.70,0.0100,0.408,-0.0493,0.00,0.3100,0.00,0.6,0.43,0.738
2.000,400.0,-0.299,1.18,1.88,10,1.4128,-0.71,0.1,0.9,0,-0.0064,-0.2821,0.12,0.4,0.70,0.0085,-0.401,-0.0610,0.00,0.3000,0.00,0.6,0.43,0.738
2.500,400.0,0.000,1.18,1.88,10,0.9976,-0.67,0.1,0.9,0,-0.0064,-0.4108,0.25,0.4,0.70,0.0069,-0.723,-0.0711,0.00,0.3000,0.00,0.6,0.43,0.738
3.000,400.0,0.000,1.18,1.88,10,0.6443,-0.64,0.1,0.9,0,-0.0064,-0.4466,0.30,0.4,0.70,0.0054,-0.673,-0.0798,0.00,0.3000,0.00,0.6,0.43,0.738
4.000,400.0,0.000,1.18,1.88,10,0.0657,-0.58,0.1,0.9,0,-0.0064,-0.4344,0.30,0.4,0.70,0.0027,-0.627,-0.0935,0.00,0.3000,0.00,0.6,0.43,0.738
5.000,400.0,0.000,1.18,1.88,10,-0.4624,-0.54,0.1,0.9,0,-0.0064,-0.4368,0.30,0.4,0.70,0.0005,-0.596,-0.0980,0.00,0.3000,0.00,0.6,0.43,0.738
6.000,400.0,0.000,1.18,1.88,10,-0.9809,-0.50,0.1,0.9,0,-0.0064,-0.4586,0.30,0.4,0.70,-0.0013,-0.566,-0.0980,0.00,0.3000,0.00,0.6,0.43,0.738
7.500,400.0,0.000,1.18,1.88,10,-1.6017,-0.46,0.1,0.9,0,-0.0064,-0.4433,0.30,0.4,0.70,-0.0033,-0.528,-0.0980,0.00,0.3000,0.00,0.6,0.43,0.738
10.000,400.0,0.000,1.18,1.88,10,-2.2937,-0.40,0.1,0.9,0,-0.0064,-0.4828,0.30,0.4,0.70,-0.0060,-0.504,-0.0980,0.00,0.3000,0.00,0.6,0.43,0.738
